Name,Identification,MachineType,ELFVersion,EntryPointAddress,ProgramHeaderOffset,SectionHeaderOffset,Flags,HeaderSize,SizeProgramHeader,EntriesProgram,SizeSectionHeader,EntriesSection,StringTableIndex,.text_type,.text_flags,.text_size,.text_entsize,.text_table_index_link,.text_info,.text_alignment,.bss_type,.bss_flags,.bss_size,.bss_entsize,.bss_table_index_link,.bss_info,.bss_alignment,.comment_type,.comment_flags,.comment_size,.comment_entsize,.comment_table_index_link,.comment_info,.comment_alignment,.data_type,.data_flags,.data_size,.data_entsize,.data_table_index_link,.data_info,.data_alignment,.data1_type,.data1_flags,.data1_size,.data1_entsize,.data1_table_index_link,.data1_info,.data1_alignment,.debug_type,.debug_flags,.debug_size,.debug_entsize,.debug_table_index_link,.debug_info,.debug_alignment,.dynamic_type,.dynamic_flags,.dynamic_size,.dynamic_entsize,.dynamic_table_index_link,.dynamic_info,.dynamic_alignment,.dynstr_type,.dynstr_flags,.dynstr_size,.dynstr_entsize,.dynstr_table_index_link,.dynstr_info,.dynstr_alignment,.dynsym_type,.dynsym_flags,.dynsym_size,.dynsym_entsize,.dynsym_table_index_link,.dynsym_info,.dynsym_alignment,.fini_type,.fini_flags,.fini_size,.fini_entsize,.fini_table_index_link,.fini_info,.fini_alignment,.hash_type,.hash_flags,.hash_size,.hash_entsize,.hash_table_index_link,.hash_info,.hash_alignment,.gnu.hash_type,.gnu.hash_flags,.gnu.hash_size,.gnu.hash_entsize,.gnu.hash_table_index_link,.gnu.hash_info,.gnu.hash_alignment,.init_type,.init_flags,.init_size,.init_entsize,.init_table_index_link,.init_info,.init_alignment,.got_type,.got_flags,.got_size,.got_entsize,.got_table_index_link,.got_info,.got_alignment,.interp_type,.interp_flags,.interp_size,.interp_entsize,.interp_table_index_link,.interp_info,.interp_alignment,.line_type,.line_flags,.line_size,.line_entsize,.line_table_index_link,.line_info,.line_alignment,.note_type,.note_flags,.note_size,.note_entsize,.note_table_index_link,.note_info,.note_alignment,.plt_type,.plt_flags,.plt_size,.plt_entsize,.plt_table_index_link,.plt_info,.plt_alignment,.rodata_type,.rodata_flags,.rodata_size,.rodata_entsize,.rodata_table_index_link,.rodata_info,.rodata_alignment,rodata1_type,rodata1_flags,rodata1_size,rodata1_entsize,rodata1_table_index_link,rodata1_info,rodata1_alignment,.shstrtab_type,.shstrtab_flags,.shstrtab_size,.shstrtab_entsize,.shstrtab_table_index_link,.shstrtab_info,.shstrtab_alignment,.strtab_type,.strtab_flags,.strtab_size,.strtab_entsize,.strtab_table_index_link,.strtab_info,.strtab_alignment,.symtab_type,.symtab_flags,.symtab_size,.symtab_entsize,.symtab_table_index_link,.symtab_info,.symtab_alignment,.sdata_type,.sdata_flags,.sdata_size,.sdata_entsize,.sdata_table_index_link,.sdata_info,.sdata_alignment,.sbss_type,.sbss_flags,.sbss_size,.sbss_entsize,.sbss_table_index_link,.sbss_info,.sbss_alignment,.lit8_type,.lit8_flags,.lit8_size,.lit8_entsize,.lit8_table_index_link,.lit8_info,.lit8_alignment,.gptab_type,.gptab_flags,.gptab_size,.gptab_entsize,.gptab_table_index_link,.gptab_info,.gptab_alignment,.conflict_type,.conflict_flags,.conflict_size,.conflict_entsize,.conflict_table_index_link,.conflict_info,.conflict_alignment,.tdesc_type,.tdesc_flags,.tdesc_size,.tdesc_entsize,.tdesc_table_index_link,.tdesc_info,.tdesc_alignment,.lit4_type,.lit4_flags,.lit4_size,.lit4_entsize,.lit4_table_index_link,.lit4_info,.lit4_alignment,.reginfo_type,.reginfo_flags,.reginfo_size,.reginfo_entsize,.reginfo_table_index_link,.reginfo_info,.reginfo_alignment,.liblist_type,.liblist_flags,.liblist_size,.liblist_entsize,.liblist_table_index_link,.liblist_info,.liblist_alignment,.rel.dyn_type,.rel.dyn_flags,.rel.dyn_size,.rel.dyn_entsize,.rel.dyn_table_index_link,.rel.dyn_info,.rel.dyn_alignment,.rel.plt_type,.rel.plt_flags,.rel.plt_size,.rel.plt_entsize,.rel.plt_table_index_link,.rel.plt_info,.rel.plt_alignment,.got.plt_type,.got.plt_flags,.got.plt_size,.got.plt_entsize,.got.plt_table_index_link,.got.plt_info,.got.plt_alignment,STB_LOCAL,dynamic_s_c,STT_OBJECT_STB_GLOBAL,STT_FUNC_STB_LOCAL,STT_OBJECT_STB_WEAK,STT_OBJECT_STB_LOCAL,STT_NOTYPE_STB_WEAK,STB_WEAK,STT_NOTYPE_STB_LOCAL,STT_FUNC,STT_FUNC_STB_GLOBAL,STT_NOTYPE_STB_GLOBAL,STB_GLOBAL,STT_NOTYPE,STT_OBJECT,STT_FUNC_STB_WEAK,s_STT_FUNC_STB_LOCAL,s_STT_SECTION_STB_GLOBAL,symbol_tab,s_STT_SECTION_STB_LOCAL,s_STT_FUNC_STB_WEAK,s_STT_FUNC,s_STB_LOCAL,s_STT_FUNC_STB_GLOBAL,s_STB_GLOBAL,s_STB_WEAK,s_STT_OBJECT_STB_WEAK,s_STT_OBJECT,s_STT_OBJECT_STB_LOCAL,s_STT_NOTYPE,s_STT_NOTYPE_STB_GLOBAL,s_STT_NOTYPE_STB_WEAK,s_STT_NOTYPE_STB_LOCAL,s_STT_OBJECT_STB_GLOBAL,DYNRELAENT,DYNFINI,DYNPLTRELSZ,DYNVERNEEDNUM,DYNINIT_ARRAY,DYNSTRSZ,DYNSTRTAB,DYNPLTREL,DYNRELENT,VERSYM,DYN,DYNJMPREL,DYNSYMTAB,DYNRPATH,DYNFINI_ARRAYSZ,DYNNEEDED,DYNSYMENT,DYNCOUNT,DYNINIT,DYNRELSZ,DYNINIT_ARRAYSZ,DYNVERNEED,DYNRELASZ,DYNREL,DYNRELA,DYNPLTGOT,DYNHASH,DYNDEBUG,DYNFINI_ARRAY,DYNNULL,R_386_GOT32,R_386_RELATIVE,R_386_GOTOFF,R_386_PC16,R_386_GLOB_DAT,R_386_JUMP_SLOT,R_386_COPY,R_386_NONE,R_386_PC32,R_386_16,R_386_PC8,R_386_8,R_386_PLT32,R_386_32PLT,R_386_32,R_386_GOTPC,R_386_SIZE32,GOT_SIZE,HASH_SIZE,label
1241,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,4003e0,64,6576,0,64,56,9,64,31,28,PROGBITS,AX,386.0,0.0,0.0,0.0,16.0,NOBITS,WA,8.0,0.0,0.0,0.0,1.0,PROGBITS,MS,52.0,1.0,0.0,0.0,1.0,PROGBITS,WA,16.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,DYNAMIC,WA,464.0,10.0,6.0,0.0,8.0,STRTAB,A,56.0,0.0,0.0,0.0,1.0,DYNSYM,A,72.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,28.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,32.0,10.0,0.0,0.0,16.0,PROGBITS,AM,4.0,4.0,0.0,0.0,4.0,,,,,,,,STRTAB,,268,0,0,0,1,STRTAB,,521.0,0.0,0.0,0.0,1.0,SYMTAB,,1584.0,18.0,30.0,47.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,32.0,8.0,0.0,0.0,8.0,1,3,0,0,0,0,1,1,1,1,1,0,1,2,0,0,4,0,66,0,0,11,16,7,14,5,0,11,8,13,4,5,4,3,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,22,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,B
1442,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,400670,64,7096,0,64,56,9,64,31,28,PROGBITS,AX,722.0,0.0,0.0,0.0,16.0,NOBITS,WA,8.0,0.0,0.0,0.0,1.0,PROGBITS,MS,52.0,1.0,0.0,0.0,1.0,PROGBITS,WA,56.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,DYNAMIC,WA,464.0,10.0,6.0,0.0,8.0,STRTAB,A,139.0,0.0,0.0,0.0,1.0,DYNSYM,A,264.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,28.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,160.0,10.0,0.0,0.0,16.0,PROGBITS,A,262.0,0.0,0.0,0.0,8.0,,,,,,,,STRTAB,,268,0,0,0,1,STRTAB,,700.0,0.0,0.0,0.0,1.0,SYMTAB,,1824.0,18.0,30.0,48.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,96.0,8.0,0.0,0.0,8.0,1,11,0,0,0,0,1,1,1,9,9,0,9,2,0,0,4,0,76,0,0,19,17,15,23,5,0,13,9,13,4,5,4,4,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,22,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,28,B
1562,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,4003e0,64,6792,0,64,56,9,64,31,28,PROGBITS,AX,754.0,0.0,0.0,0.0,16.0,NOBITS,WA,8.0,0.0,0.0,0.0,1.0,PROGBITS,MS,52.0,1.0,0.0,0.0,1.0,PROGBITS,WA,24.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,DYNAMIC,WA,464.0,10.0,6.0,0.0,8.0,STRTAB,A,56.0,0.0,0.0,0.0,1.0,DYNSYM,A,72.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,28.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,32.0,10.0,0.0,0.0,16.0,PROGBITS,AM,4.0,4.0,0.0,0.0,4.0,,,,,,,,STRTAB,,268,0,0,0,1,STRTAB,,564.0,0.0,0.0,0.0,1.0,SYMTAB,,1752.0,18.0,30.0,47.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,32.0,8.0,0.0,0.0,8.0,1,3,0,0,0,0,1,1,1,1,1,0,1,2,0,0,4,0,73,0,0,16,16,12,21,5,0,13,8,13,4,5,4,5,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,22,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,B
pbmtogem,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,400e00,64,8608,0,64,56,9,64,28,27,PROGBITS,AX,1842.0,0.0,0.0,0.0,16.0,NOBITS,WA,72.0,0.0,0.0,0.0,16.0,,,,,,,,PROGBITS,WA,16.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,DYNAMIC,WA,480.0,10.0,6.0,0.0,8.0,STRTAB,A,342.0,0.0,0.0,0.0,1.0,DYNSYM,A,672.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,64.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,272.0,10.0,0.0,0.0,16.0,PROGBITS,A,30.0,0.0,0.0,0.0,4.0,,,,,,,,STRTAB,,243,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,152.0,8.0,0.0,0.0,8.0,1,28,2,0,0,0,4,4,1,18,18,3,23,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,2,1,23,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,64,B
filefrag,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,4015a0,64,12800,0,64,56,9,64,29,28,PROGBITS,AX,4930.0,0.0,0.0,0.0,16.0,NOBITS,WA,240.0,0.0,0.0,0.0,32.0,,,,,,,,PROGBITS,WA,40.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,DYNAMIC,WA,464.0,10.0,6.0,0.0,8.0,STRTAB,A,295.0,0.0,0.0,0.0,1.0,DYNSYM,A,648.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,52.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,352.0,10.0,0.0,0.0,16.0,PROGBITS,A,1320.0,0.0,0.0,0.0,8.0,,,,,,,,STRTAB,,258,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,192.0,8.0,0.0,0.0,8.0,1,27,4,0,0,0,1,1,1,21,21,0,25,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,22,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,52,B
3098,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,400560,64,6840,0,64,56,9,64,31,28,PROGBITS,AX,450.0,0.0,0.0,0.0,16.0,NOBITS,WA,8.0,0.0,0.0,0.0,1.0,PROGBITS,MS,52.0,1.0,0.0,0.0,1.0,PROGBITS,WA,16.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,DYNAMIC,WA,464.0,10.0,6.0,0.0,8.0,STRTAB,A,98.0,0.0,0.0,0.0,1.0,DYNSYM,A,192.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,28.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,112.0,10.0,0.0,0.0,16.0,PROGBITS,A,22.0,0.0,0.0,0.0,4.0,,,,,,,,STRTAB,,268,0,0,0,1,STRTAB,,626.0,0.0,0.0,0.0,1.0,SYMTAB,,1704.0,18.0,30.0,47.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,72.0,8.0,0.0,0.0,8.0,1,8,0,0,0,0,1,1,1,6,6,0,6,2,0,0,4,0,71,0,0,16,16,12,19,5,0,11,8,13,4,5,4,3,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,22,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,28,B
gapplication,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,401c20,64,17152,0,64,56,9,64,29,28,PROGBITS,AX,3474.0,0.0,0.0,0.0,16.0,NOBITS,WA,8.0,0.0,0.0,0.0,1.0,,,,,,,,PROGBITS,WA,16.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,DYNAMIC,WA,528.0,10.0,6.0,0.0,8.0,STRTAB,A,1146.0,0.0,0.0,0.0,1.0,DYNSYM,A,1488.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,72.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,848.0,10.0,0.0,0.0,16.0,PROGBITS,A,1984.0,0.0,0.0,0.0,32.0,,,,,,,,STRTAB,,258,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,440.0,8.0,0.0,0.0,8.0,1,62,0,0,0,0,4,4,1,54,54,3,57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,5,1,26,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,72,B
sputoppm,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,400bb0,64,8560,0,64,56,9,64,28,27,PROGBITS,AX,1202.0,0.0,0.0,0.0,16.0,NOBITS,WA,147232.0,0.0,0.0,0.0,32.0,,,,,,,,PROGBITS,WA,16.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,DYNAMIC,WA,480.0,10.0,6.0,0.0,8.0,STRTAB,A,291.0,0.0,0.0,0.0,1.0,DYNSYM,A,528.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,64.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,176.0,10.0,0.0,0.0,16.0,PROGBITS,A,14.0,0.0,0.0,0.0,4.0,,,,,,,,STRTAB,,243,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,104.0,8.0,0.0,0.0,8.0,1,22,2,0,0,0,4,4,1,12,12,3,17,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,2,1,23,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,64,B
mmcli,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,40c3e0,64,161480,0,64,56,9,64,29,28,PROGBITS,AX,58274.0,0.0,0.0,0.0,16.0,NOBITS,WA,920.0,0.0,0.0,0.0,8.0,,,,,,,,PROGBITS,WA,5744.0,0.0,0.0,0.0,32.0,,,,,,,,,,,,,,,DYNAMIC,WA,544.0,10.0,6.0,0.0,8.0,STRTAB,A,13549.0,0.0,0.0,0.0,1.0,DYNSYM,A,11808.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,72.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,7696.0,10.0,0.0,0.0,16.0,PROGBITS,A,30383.0,0.0,0.0,0.0,32.0,,,,,,,,STRTAB,,258,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,3864.0,8.0,0.0,0.0,8.0,1,492,2,0,0,0,4,4,1,482,482,3,487,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,6,1,27,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,72,B
desktop-file-install,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,403190,64,72864,0,64,56,9,64,29,28,PROGBITS,AX,24098.0,0.0,0.0,0.0,16.0,NOBITS,WA,64.0,0.0,0.0,0.0,8.0,,,,,,,,PROGBITS,WA,2020.0,0.0,0.0,0.0,32.0,,,,,,,,,,,,,,,DYNAMIC,WA,480.0,10.0,6.0,0.0,8.0,STRTAB,A,1991.0,0.0,0.0,0.0,1.0,DYNSYM,A,2880.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,72.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,1760.0,10.0,0.0,0.0,16.0,PROGBITS,A,29824.0,0.0,0.0,0.0,32.0,,,,,,,,STRTAB,,258,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,896.0,8.0,0.0,0.0,8.0,1,120,1,0,0,0,4,4,1,111,111,3,115,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,2,1,23,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,72,B
1609,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,400450,64,6792,0,64,56,9,64,31,28,PROGBITS,AX,562.0,0.0,0.0,0.0,16.0,NOBITS,WA,48.0,0.0,0.0,0.0,16.0,PROGBITS,MS,52.0,1.0,0.0,0.0,1.0,PROGBITS,WA,16.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,DYNAMIC,WA,464.0,10.0,6.0,0.0,8.0,STRTAB,A,83.0,0.0,0.0,0.0,1.0,DYNSYM,A,96.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,28.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,48.0,10.0,0.0,0.0,16.0,PROGBITS,A,16.0,0.0,0.0,0.0,8.0,,,,,,,,STRTAB,,268,0,0,0,1,STRTAB,,586.0,0.0,0.0,0.0,1.0,SYMTAB,,1728.0,18.0,30.0,47.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,40.0,8.0,0.0,0.0,8.0,1,4,0,0,0,0,1,1,1,2,2,0,2,2,0,0,4,0,72,0,0,15,16,11,20,5,0,13,8,13,4,5,4,5,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,22,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,28,B
xzcat,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,1,402a8c,64,66856,0,64,56,9,64,28,27,PROGBITS,AX,32194.0,0.0,0.0,0.0,16.0,NOBITS,WA,18560.0,0.0,0.0,0.0,32.0,,,,,,,,PROGBITS,WA,148.0,0.0,0.0,0.0,32.0,,,,,,,,,,,,,,,DYNAMIC,WA,480.0,10.0,6.0,0.0,8.0,STRTAB,A,1611.0,0.0,0.0,0.0,1.0,DYNSYM,A,2760.0,18.0,6.0,1.0,8.0,PROGBITS,AX,9.0,0.0,0.0,0.0,4.0,,,,,,,,GNU_HASH,A,64.0,0.0,5.0,0.0,8.0,PROGBITS,AX,26.0,0.0,0.0,0.0,4.0,PROGBITS,WA,8.0,8.0,0.0,0.0,8.0,PROGBITS,A,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,PROGBITS,AX,1680.0,10.0,0.0,0.0,16.0,PROGBITS,A,13712.0,0.0,0.0,0.0,32.0,,,,,,,,STRTAB,,254,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGBITS,WA,856.0,8.0,0.0,0.0,8.0,1,115,6,0,1,0,4,5,1,103,103,0,109,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,2,1,23,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,64,B
